date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:08:52	78170/78170	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a42c12ce3649811baef4c4d5ff55015%22	https://docs.nvidia.com/deeplearning/cudnn/archives/helpers/getObjectProperty.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/helpers/getObjectProperty.25.delayed	(from http://assets.adobedtm.com/5d4962a43b79/c1061d2c5e7b/launch-191c2462b890.min.js)
03:08:52	10518/10518	---M-Z	200	added ('OK')	text/html	etag:W/%2287476fa7e1b00d2318f0f908c65c7390%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/index-2.html	(from http://assets.adobedtm.com/5d4962a43b79/c1061d2c5e7b/launch-191c2462b890.min.js)
03:08:54	6097/6097	---M-Z	200	added ('OK')	text/css	etag:W/%22d759e8ce0f3649bacc4a73de186b2e5c%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/commonltr.css	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/commonltr.css	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/release-notes/index.html)
03:08:56	3501/3501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213744d7d5abeda1f277265291de985ad%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.scrollintoview.min.js	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/jquery.scrollintoview.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/release-notes/index.html)
03:08:57	908/908	---M-Z	200	added ('OK')	text/css	etag:%22854e7de7847bf0b2308574a32fb81ef1%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/qwcode.highlight.css	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/common/formatting/qwcode.highlight.css	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/release-notes/index.html)
03:08:59	191314/191314	---MCZ	200	added ('OK')	application/pdf	etag:W/%22e77b5fc3fe24e9b68c8e27b30e10cbe5%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Support-Matrix.pdf	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Support-Matrix.pdf	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/support-matrix/index.html)
03:08:59	1268231/1268231	---M-Z	200	added ('OK')	application/pdf	etag:W/%22c13b3dc7ee5c7ec23b5b7f8ec211b14e%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Release-Notes.pdf	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Release-Notes.pdf	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/release-notes/index.html)
03:09:00	2087970/2087970	---M-Z	200	added ('OK')	application/javascript	etag:%2262a0e49d-a543c%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/3.2.2/es5/tex-mml-svg.min.js	D:/Deepstream/Cudnn/cdnjs.cloudflare.com/ajax/libs/mathjax/3.2.2/es5/tex-mml-svg.min.js	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/release-notes/index.html)
03:09:02	294680/294680	---MCZ	200	added ('OK')	application/pdf	etag:W/%225975e4a12aa01daebf3bdfeab2b7fb30%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Installation-Guide.pdf	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-Installation-Guide.pdf	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/install-guide/index.html)
03:09:04	2323805/2323805	---MCZ	200	added ('OK')	application/pdf	etag:W/%224385f26d8e3d47a0497813c5bd85ca4e%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-API.pdf	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/pdf/cuDNN-API.pdf	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:05	54992/54992	---M--	200	added ('OK')	image/png	etag:%2203ded24114b0d606058b12bc98098439%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/library-ovr.png	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/library-ovr.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:07	62011/62011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220933e53d8d95e7cad822af7b21219d37%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/fused-op-block-diag-opcode0.svg	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/fused-op-block-diag-opcode0.svg	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
03:09:08	39082/39082	---M--	200	added ('OK')	image/png	etag:%22cd3ea037d7535590ec3ef1ebbff79a03%22	https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/multiheadattnforward.PNG	D:/Deepstream/Cudnn/docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/graphics/multiheadattnforward.png	(from https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn-897/api/index.html)
